"","num_dataset","AUC","Model_Type"
"1",1,0.946666666666667,"RSA_WCN_SS_Mean_Score"
"2",2,0.932352941176471,"RSA_WCN_SS_Mean_Score"
"3",3,0.942125237191651,"RSA_WCN_SS_Mean_Score"
"4",4,0.951612903225806,"RSA_WCN_SS_Mean_Score"
"5",5,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"6",6,0.936432637571157,"RSA_WCN_SS_Mean_Score"
"7",7,0.951152073732719,"RSA_WCN_SS_Mean_Score"
"8",8,0.95,"RSA_WCN_SS_Mean_Score"
"9",9,0.948039215686274,"RSA_WCN_SS_Mean_Score"
"10",10,0.939278937381404,"RSA_WCN_SS_Mean_Score"
