"","num_dataset","AUC","Model_Type"
"1",1,0.937381404174573,"RSA_WCN_SS_Mean_Score"
"2",2,0.94876660341556,"RSA_WCN_SS_Mean_Score"
"3",3,0.934535104364326,"RSA_WCN_SS_Mean_Score"
"4",4,0.943137254901961,"RSA_WCN_SS_Mean_Score"
"5",5,0.958254269449715,"RSA_WCN_SS_Mean_Score"
"6",6,0.967647058823529,"RSA_WCN_SS_Mean_Score"
"7",7,0.934285714285714,"RSA_WCN_SS_Mean_Score"
"8",8,0.945622119815668,"RSA_WCN_SS_Mean_Score"
"9",9,0.930740037950664,"RSA_WCN_SS_Mean_Score"
"10",10,0.920588235294118,"RSA_WCN_SS_Mean_Score"
